"","Text","Positive","Negative","Score","PosPercent","NegPercent"
"1","RT @nickkverma: @KapilMishra_IND @SamikshaTitarm1 The whole ecosystem is rattled because #ArnabGoswani single-handedly took them down.",9,9,0,50,50
"2","RT @tkn2104: Will #ArnabGoswani promote itself as tonight's trending hashtag?",5,5,0,50,50
"3","RT @FollowTollyview: #Arnabgoswani did ask good questions to rahulgandhi did he get the right answers well watch it",14,14,0,50,50
"4","RT @Sowmyareddyr: #ArnabGoswani talks about AAP's minister's travels during a health crisis in Delhi. Does he even know about PM's travels",19,19,0,50,50
"5","RT @thehcp: @India_Policy No doubt #ArnabGoswani &amp; @majorgauravarya form a deadly combo! Bad days ahead 4 defaulters, corrupts, anti-nation",11,11,0,50,50
"6","RT @javeeth: #ArnabGoswani is doing a show now with ppl in DC, NY & London. Thats good news for India.",10,10,0,50,50
"7","@KapilMishra_IND @SamikshaTitarm1 The whole ecosystem is rattled because #ArnabGoswani single-handedly took them down.",9,9,0,50,50
"8","RT @nickkverma: @Iyervval And they accuse #ArnabGoswani of tarnishing journalism.",5,5,0,50,50
"9","@Iyervval And they accuse #ArnabGoswani of tarnishing journalism.",5,5,0,50,50
"10","@tavleen_singh I challenge @RahulGandhi to have a debate with #ArnabGoswani. Just see what happens ",11,11,0,50,50
